source_code,identifier,rotulo,title,date,format,description,relation
EXPOSICIONES-C028,ES-CEDCS-ZARZA-EXPOSICIONES-C028,C028,"[Caja 28: ""Andalucía, hitos y mitos"" y ""Expo Buades"" o otros]",[s.f.],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Incluye las propuestas expositivas ""Andalucía, hitos y mitos"" y ""Expo Buades"", un extracto de la tesis sobre José María de Ucelay, recortes e imágenes de las intervenciones lumínicas en la Puerta de Alcalá y ""La noche roja"", invitaciones y seis CD-ROM con archivos digitales y fotográficos (""Legado Zarza"", ""Clase Turista"", ""Bienes comunes en conflicto"").",EXPOSICIONES
EXPOSICIONES-C028-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C028-P001,C028-P001,"[Carpeta 1: ""Expo Buades"" y otros documentos]",[s.f.],1 carpeta de conservación,"Reúne documentación de proyectos expositivos, investigación académica y soportes digitales. El conjunto contiene la carpeta con la propuesta técnica de proyecto expositivo ""Andalucía, hitos y mitos. Propuesta de desarrollo expositivo"", un extracto impreso de la tesis doctoral ""La obre pictórica de José María  Ucelay. Análisis biográfico y estético"" de Kosme María de Barañano Letamendía y la carpeta rotulada ""Expo Buades"" con borradores e impresos con correcciones manuscritas autógrafas. Se completa con documentos impresos de trabajo, reproducciones reprográficas a color del dossier fotográfico ""Carmen Navarrete"" y dos soportes ópticos (CD-ROM) rotulados ""Ventosilla cumpleaños 2009"" y ""Mujeres creando"".",EXPOSICIONES
EXPOSICIONES-C028-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C028-P002,C028-P002,"[Carpeta 2: ""La noche roja"" y otros documentos]",[s.f.],1 carpeta de conservación,"El conjunto contiene recortes de prensa e imágenes fotográficas originales del evento ""La noche roja"" y de la iluminación con rayo laser de la Puerta de Alcalá en Madrid, fotografías de piezas escultóricas y bocetos tridimensionales, así como hojas de contactos fotográficos de montajes expositivos. Se completa con una carpeta con impresos del centro Photocentro, la tarjeta de invitación a la presentación de la novela ""El vampiro de las calles de México"" de Vicente Molina Foix y cuatro soportes ópticos (CD-ROM) con archivos digitales titulados ""Fotos enero febrero 2008, exposición Clase Turista, Zaragoza"", ""Legado Zarza, escaneado parcialmente diciembre 2004"" y ""Bienes comunes en conflicto"" (9 de julio de 2003).",EXPOSICIONES
PERSONAL-C029,ES-CEDCS-ZARZA-PERSONAL-C029,C029,"[Caja 29: ""ASNAR"", ""Marías"",""Luis Suárez. Puerto de Santa María"" o otros]",[s.f.],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"El conjunto incluye la carpeta ""Archivo Z R Z, recortes, postales, varios"" (con postales, bocetos, collages, retratos fotográficos, el borrador ""La astrología..."" y una radiografía), la carpeta ""ASNAR"" con recortes satirizados, la carpeta ""Marías"" con recortes y collages sobre Javier Marías y la publicación ""La Canalla"", y la carpeta ""Luis Suárez. Puerto de Santa María"" con correspondencia electrónica y borradores preparatorios para un posible proyecto cinematográfico.",PERSONAL
PERSONAL-C029-P001,ES-CEDCS-ZARZA-PERSONAL-C029-P001,C029-P001,"[Carpeta 1:  ""Archivo Z R Z, recortes, postales, varios"", ""ASNAR"" y otros documentos]",[s.f.],1 carpeta de conservación,"El conjunto contiene dos carpetas de color negro (una en símil piel y otra rotulada ""Archivo Z R Z, recortes, postales, varios"") con tarjetas postales, recortes de prensa, notas autógrafas, bocetos manuscritos, composiciones en collage, retratos fotográficos (en blanco y negro y a color), el borrador de la publicación ""La astrología..."", entradas de conciertos, una radiografía fotográfica y documentación electoral sobre colegios profesionales de arquitectos. Se completa con la carpeta titulada ""ASNAR"", comprensiva de recortes de prensa e impresos gráficos satirizados en collage.",PERSONAL
PERSONAL-C029-P002,ES-CEDCS-ZARZA-PERSONAL-C029-P002,C029-P002,"[Carpeta 2:  ""Marías"" y ""Luis Suárez. Puerto de Santa María""]",[s.f.],1 carpeta de conservación,"El conjunto contiene la carpeta rotulada ""Marías"" (formato DIN A4), comprensiva de recortes de prensa y collages sobre el escritor Javier Marías, el escrito ""Unos cuantos supositorios para el merluzo de Trapiello"" y documentación sobre la publicación ""La Canalla"". Se completa con la carpeta titulada ""Luis Suárez. Puerto de Santa María"", integrada por correspondencia electrónica impresa entre Rafael Zarza y Luis Suárez Ávila y materiales preparatorios para lo que podría ser un proyecto de guion cinematográfico.",PERSONAL
PERSONAL-C029-P003,ES-CEDCS-ZARZA-PERSONAL-C029-P003,C029-P003,[Carpeta 3: Registros necrológicos],[s.f.],1 carpeta de conservación,"Reúne documentación de memoria personal, registros necrológicos, publicaciones de homenaje y archivos fotográficos recopilados por Rafael Zarza. El conjunto contiene dos agendas de bolsillo con directorios de contactos, la carpeta de conservación en color negro rotulada ""Gus Alito"" (con esquelas, retratos fotográficos en blanco y negro, recortes de prensa y notas autógrafas), la filmografía de Gustavo Pérez de Ayala (1977-1995), un soporte óptico (CD-ROM) titulado ""Versión reducida"" / ""Gus by"" (octubre de 2006) y un ejemplar de la revista ""Dezine"" (mayo de 1980). Se completa con el fanzine memorial elaborado artesanalmente a mano por Rafael Zarza dedicado a Rafael Feo (mayo de 2006), comprensivo de collages, notas autógrafas e ilustraciones originales.",PERSONAL
EXPOSICIONES-C030,ES-CEDCS-ZARZA-EXPOSICIONES-C030,C030,"[Caja 30: ""Monumento a los pájaros."", ""Por un uso sostenible de los recursos naturales. El futuro está en tus manos. Exposición Invernadero Arganzuela"" o otros]",[ca. 2010],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne expedientes técnicos, galeradas y dossiers de gestión de diversos proyectos expositivos (1999-2010). Incluye la carpeta ""Monumento a los pájaros. Hito y mito. Alberto Sánchez"" con la documentación de la exposición en la Sala El Águila (2010), fotografías, folleto y dos CD-ROM de Javier Campano. Se completa con las pruebas de imprenta de las muestras sobre Velázquez, Buñuel y Lorca, la carpeta ""El color negro está mal de la salud"" y el proyecto del Invernadero Arganzuela con planos e impresos.",EXPOSICIONES
EXPOSICIONES-C030-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C030-P001,C030-P001,"[Carpeta 1:  ""Monumento a los pájaros. Hito y mito. Alberto Sánchez""]",[ca. 2010],1 carpeta de conservación,"Carpeta de conservación en color negro (formato DIN A4) rotulada ""Monumento a los pájaros. Hito y mito. Alberto Sánchez"". Reúne la documentación organizativa, correspondencia electrónica impresa y material gráfico de la exposición sobre la pieza escultórica del artista Alberto Sánchez celebrada en la Sala El Águila de Madrid (22 de marzo a 9 de mayo de 2010). El conjunto contiene impresiones fotográficas a color y copias reprográficas de las salas de exposición y del acto de inauguración institucional con asistencia de autoridades (Esperanza Aguirre), el folleto monográfico ""O escultor Alberto"" y dos soportes ópticos (CD-ROM) con el reportaje fotográfico del montaje y de las esculturas realizado por Javier Campano (""Fotos montaje Sala El Águila. Expo Alberto"" y ""Reportaje fotográfico exposición El monumento a los pájaros. Hito y mitos. Una escultura de Alberto Sánchez. Sala El Águila, 22 marzo - 9 mayo 2010"").",EXPOSICIONES
EXPOSICIONES-C030-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C030-P002,C030-P002,"[Carpeta 2:  ""Por un uso sostenible de los recursos naturales. El futuro está en tus manos. Exposición Invernadero Arganzuela"" y otros materiales]",[s.f.],1 carpeta de conservación,"Reúne pruebas de imprenta, proyectos comisariales y documentación técnica de montaje para diversas exposiciones temporales y divulgativas. Se completa con la carpeta del proyecto ""El color negro está mal de la salud"", una carpeta archivadora de anillas en color negro con copias reprográficas fotográficas y la carpeta titulada ""Por un uso sostenible de los recursos naturales. El futuro está en tus manos. Exposición Invernadero Arganzuela"", comprensiva materiales diversos.",EXPOSICIONES
EXPOSICIONES-C031,ES-CEDCS-ZARZA-EXPOSICIONES-C031,C031,"[Caja 31:  ""Federico García Lorca. Imágenes, palabras""]",[s.f.],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne el archivo técnico, comercial, audiovisual e itinerante del proyecto expositivo ""Federico García Lorca. Imágenes, palabras"". El conjunto comprende carpetas temáticas (""Acto Casa América"", ""Anaya Legado Andalusí"", ""Dossier Venta"", ""FGL Imágenes palabras itinerancia en Japón""), doce CD-ROM, cintas de vídeo MiniDV, el folleto ""Qué es España 1929-1930"", dossiers de prensa y copias reprográficas fotográficas e impresas.",EXPOSICIONES
EXPOSICIONES-C031-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C031-P001,C031-P001,"[Carpeta 1:  ""Federico García Lorca. Imágenes, palabras"" 1]",[s.f.],1 carpeta de conservación,"Reúne documentación técnica, administrativa y de difusión correspondiente al proyecto expositivo y editorial ""Federico García Lorca. Imágenes, palabras"". El conjunto comprende una agrupación de carpetas de conservación en formato DIN A4 (tres de color marrón rotuladas ""Acto Casa América"", ""Anaya Legado Andalusí"" y ""Dossier Venta"", junto con una carpeta de color rojo sin titulación) que contienen borradores impresos de trabajo, dossiers comerciales de gestión y copias reprográficas de material gráfico en blanco y negro.",EXPOSICIONES
EXPOSICIONES-C031-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C031-P002,C031-P002,"[Carpeta 2:  ""Federico García Lorca. Imágenes, palabras"" 2]",[s.f.],1 carpeta de conservación,"Reúne materiales de gestión, itinerancia internacional y soportes audiovisuales y digitales del proyecto expositivo ""Federico García Lorca. Imágenes, palabras"". El conjunto incluye la carpeta de conservación titulada ""FGL Imágenes palabras itinerancia en Japón"" con el calendario de sedes de la itinerancia en Japón, una docena de soportes ópticos (CD-ROM) con rotulación manuscrita, cintas de vídeo de pequeño formato (MiniDV) y el folleto de divulgación ""Qué es España 1929-1930"". Se completa con dossiers de prensa, copias reprográficas de reportajes fotográficos (en blanco y negro) y carpetas de trabajo con ensayos e impresos de investigación sobre el poeta.",EXPOSICIONES
EXPOSICIONES-C032,ES-CEDCS-ZARZA-EXPOSICIONES-C032,C032,"[Caja 32:  Exposicion Joaquín del Palacio, Kindel]",[ca. 2000 - ca. 2007],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne expedientes técnicos, administrativos, financieros y de comisariado de la exposición monográfica dedicada al fotógrafo Joaquín del Palacio (Kindel) en la Fundación COAM (2000-2007), incluyendo la carpeta ""Joaquín del Palacio, Kindel"" con el contrato de 2000, la carpeta de gestión ""Cobros más pagos COAM"", el expediente ""Montaje Kindel COAM"" con la factura de 2007, galeradas corregidas, prensa y reportajes fotográficos originales.",EXPOSICIONES
EXPOSICIONES-C032-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C032-P001,C032-P001,"[Carpeta 1:  Exposicion Joaquín del Palacio, Kindel 1]",[ca. 2000 - ca. 2007],1 carpeta de conservación,"Carpeta de conservación en color marrón (formato DIN A4) rotulada ""Joaquín del Palacio, Kindel"". Reúne el expediente técnico, administrativo y de comisariado para la organización de la exposición monográfica dedicada al fotógrafo Joaquín del Palacio (Kindel). El conjunto contiene un contrato formalizado en Madrid el 31 de mayo de 2000, borradores de texto con correcciones autógrafas, copias reprográficas, ejemplares de prensa impresa de la época y reportajes fotográficos originales (en blanco y negro) en formato menor. Se completa con la carpeta de gestión económica rotulada ""Cobros más pagos COAM"", comprensiva de documentos de liquidación financiera y notas de trabajo.",EXPOSICIONES
EXPOSICIONES-C032-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C032-P002,C032-P002,"[Carpeta 2:  Exposicion Joaquín del Palacio, Kindel 2]",[ca. 2000 - ca. 2007],1 carpeta de conservación,"Expediente de montaje, diseño y gestión técnica de la exposición dedicada al fotógrafo Joaquín del Palacio (Kindel) (ca. 2007). El conjunto reúne la carpeta de conservación en color marrón rotulada ""Montaje Kindel COAM"" y diversas fundas archivadoras de plástico (formato DIN A4), que contienen borradores impresos de trabajo, reproducciones reprográficas fotográficas y reportajes fotográficos originales con anotaciones manuscritas autógrafas en los soportes. Se completa con la documentación contable y administrativa de la muestra, incluyendo la factura de producción emitida a la Fundación COAM con fecha de 10 de abril de 2007.",EXPOSICIONES
EXPOSICIONES-C033,ES-CEDCS-ZARZA-EXPOSICIONES-C033,C033,"[Caja 33:  ""Federico García Lorca. Imágenes, palabras"" y otros documentos]",[ca. 1999- ca. 2009],1 caja de archivo definitivo (contiene 1 carpeta de conservación).,"Reúne publicaciones seriadas y expediente de trabajo para la organización del proyecto expositivo ""Federico García Lorca. Imágenes, palabras"". El conjunto contiene cinco ejemplares impresos de la publicación ""Siglo de oro al tercer milenio"", correspondencia institucional sobre el proyecto, borradores impresos de texto, reproducciones de reportajes fotográficos, recortes de prensa originales y en copias reprográficas, así como otros documentos no vinculados a la exposición.",EXPOSICIONES
EXPOSICIONES-C033-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C033-P001,C033-P001,"[Carpeta 1:  ""Federico García Lorca. Imágenes, palabras""]",[ca. 1999- ca. 2009],1 carpeta de conservación,"Reúne publicaciones seriadas y expediente de trabajo para la organización del proyecto expositivo ""Federico García Lorca. Imágenes, palabras"". El conjunto contiene cinco ejemplares impresos de la publicación ""Siglo de oro al tercer milenio"", correspondencia institucional sobre el proyecto, borradores impresos de texto, reproducciones de reportajes fotográficos, recortes de prensa originales y en copias reprográficas, así como otros documentos no vinculados a la exposición.",EXPOSICIONES
EXPOSICIONES-C034,ES-CEDCS-ZARZA-EXPOSICIONES-C034,C034,"[Caja 34:  ""Imágenes y palabras de los poetas del 27, primera parte. El deseo""]",[ca. 1999- ca. 2009],1 caja de archivo definitivo (contiene 1 carpeta de conservación).,"Agrupación de carpetas de conservación con el expediente técnico, comisarial, económico y documental de proyectos expositivos sobre la Generación del 27 y la Residencia de Estudiantes (1999-2009). El conjunto incluye la carpeta negra ""Imágenes y palabras de los poetas del 27, primera parte. El deseo"" (con reproducciones de retratos fotográficos, el dossier manuscrito ""Dossier Silvia"", correspondencia electrónica y un CD-ROM de Telemadrid de 2009), la carpeta marrón con publicaciones sobre Alberto Jiménez Fraud y la Residencia de Estudiantes, la carpeta negra ""El pescado no es una lata"" con manuscritos autógrafos y justificantes bancarios de presupuestos, y la carpeta roja rotulada ""Miró"" con un talón bancario del 30 de junio de 1999 (por valor de 2.661 pesetas) y documentación administrativa.",EXPOSICIONES
EXPOSICIONES-C034-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C034-P001,C034-P001,"[Carpeta 1:  ""Imágenes y palabras de los poetas del 27, primera parte. El deseo"" y otros cocumentos]",[ca. 1999- ca. 2009],1 carpeta de conservación,"Agrupación de carpetas de conservación con el expediente técnico, comisarial, económico y documental de proyectos expositivos sobre la Generación del 27 y la Residencia de Estudiantes (1999-2009). El conjunto incluye la carpeta negra ""Imágenes y palabras de los poetas del 27, primera parte. El deseo"" (con reproducciones de retratos fotográficos, el dossier manuscrito ""Dossier Silvia"", correspondencia electrónica y un CD-ROM de Telemadrid de 2009), la carpeta marrón con publicaciones sobre Alberto Jiménez Fraud y la Residencia de Estudiantes, la carpeta negra ""El pescado no es una lata"" con manuscritos autógrafos y justificantes bancarios de presupuestos, y la carpeta roja rotulada ""Miró"" con un talón bancario del 30 de junio de 1999 (por valor de 2.661 pesetas) y documentación administrativa.",EXPOSICIONES
EXPOSICIONES-C035,ES-CEDCS-ZARZA-EXPOSICIONES-C035,C035,"[Caja 35:  ""Imágenes y palabras de los poetas del 27, primera parte. El deseo""]",[ca. 2010],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Proyectos expositivos, investigaciones y licitaciones sobre la Residencia de Estudiantes, ILE y Alberto Sánchez",EXPOSICIONES
EXPOSICIONES-C035-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C035-P001,C035-P001,"[Carpeta 1:  ""La realidad y el deseo. Imágenes y palabras de los poetas del 27"" y otros documentos]",[ca. 2010],1 carpeta de conservación,"El conjunto contiene los borradores del proyecto ""La realidad y el deseo. Imágenes y palabras de los poetas del 27"", junto con un sobre rotulado ""V 30 H"" que alberga el acta oficial de entrega y recepción suscrita el 28 de junio de 2010 entre la Residencia de Estudiantes (Rosario Romero) y Rafael Zarza Ballugera. Se completa con dossiers de prensa anotados de ""Las otras galerías. Kiko Rivas, la cárcel y las bellas artes"", la carpeta titulada ""Proyecto para el encubramiento del Cerro Testigo Almodovar de Vallecas en Madrid con escultura de Alberto Sánchez"" (con memorias de montaje, pruebas de imprenta, el borrador ""Monumento a los pájaros. Alberto. Palabras de un escultor"" y cartografía topográfica de emplazamiento), así como correspondencia electrónica impresa e imágenes de trabajo.",EXPOSICIONES
EXPOSICIONES-C035-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C035-P002,C035-P002,"[Carpeta 2:  ""Junta para la Ampliación de Estudios (JAE)"" y otros documentos]",[ca. 2010],1 carpeta de conservación,"El conjunto contiene el expediente de licitación de la Fundación Francisco Giner de los Ríos (Institución Libre de Enseñanza) para la exposición itinerante sobre la Junta para la Ampliación de Estudios (JAE), comprensivo de contratos, pliegos de prescripciones y manuales de montaje de módulos expositivos. Se completa con las carpetas de los proyectos ""Hablaremos de esto dentro de 100 años. Centenario de la Residencia de Estudiantes"", ""Sobre esto y aquello, escrito de y sobre Luis Lacasa"", ""Las otras galerías"", el borrador de guion ""Pantalla de plata. Retrato fílmico de los poetas del 27"", las carpetas de investigación ""Guiones invariantes arquitectura madrileña"" y ""Cartografías indígenas"", y el expediente fotográfico de una pieza escultórica en cerámica representando una cabeza con escritura manuscrita sobre esta.",EXPOSICIONES
PERSONAL-C036,ES-CEDCS-ZARZA-PERSONAL-C036,C036,"[Caja 36:  Documentación personal, expediente escolar, y otros]",[ca. 1947- s.f.],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne documentación personal, expediente escolar, archivo fotográfico e impresos de diseño de Rafael Zarza (1947-1960). Incluye cuadernos académicos del Colegio San Miguel (1947), libretas escolares (1947-1960), dibujos juveniles, la carpeta de fotografías (retratos, paisajes, polaroids y dos CD-ROM), un ejemplar de la revista ""Octubre. Escritores y artistas revolucionarios"" y la caja ""Restos ZRZ acetatos"" con acetatos impresos a color.",PERSONAL
PERSONAL-C036-P001,ES-CEDCS-ZARZA-PERSONAL-C036-P001,C036-P001,[Carpeta 1:  Cuaderno de certificados académicos y otros documentos],[ca. 1947- s.f.],1 carpeta de conservación,"El conjunto contiene su cuaderno de certificados académicos del Colegio San Miguel de Madrid (1 de marzo de 1947), libretas escolares (1947-1960), dibujos e ilustraciones originales de etapa juvenil y la carpeta de conservación en color negro (formato DIN A4) con su archivo fotográfico personal (retratos en blanco y negro y a color, fotografías de gran formato, paisajes y copias fotográficas instantáneas tipo polaroid), dibujos manuales, recortes de prensa y dos soportes ópticos (CD-ROM) rotulados ""Más fotos"" y ""Fotos Pablo"".",PERSONAL
PERSONAL-C036-P002,ES-CEDCS-ZARZA-PERSONAL-C036-P002,C036-P002,"[Carpeta 2:  ""Restos ZRZ acetatos"" y otros documentos]",[s.f.],1 carpeta de conservación,"El conjunto contiene un ejemplar impreso de la revista ""Octubre. Escritores y artistas revolucionarios"" y una caja de conservación (formato DIN A4) con la rotulación manuscrita ""Restos ZRZ acetatos"", comprensiva de filminas y soportes plásticos de acetato impresos a color.",PERSONAL
ARQUITECTURA-C037,ES-CEDCS-ZARZA-ARQUITECTURA-C037,C037,"[Caja 37:  Diploma de los ""Premios Nacionales de Urbanismo 1983"" y otros]",[s.f.- ca. 19893],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Reúne publicaciones  y expedientes de arquitectura y urbanismo (ca. 1983). Incluye la colección de láminas ""Life Escapes. Pack 2. Home, Neighborhood and Community"", el diploma de los ""Premios Nacionales de Urbanismo 1983"" (Ministerio de Obras Públicas), fotolitos de ""Urbanismo en Madrid 1920-1940"" y la memoria con planos de la reforma de la vivienda M. Gala en Madrid.",ARQUITECTURA
ARQUITECTURA-C037-P001,ES-CEDCS-ZARZA-ARQUITECTURA-C037-P001,C037-P001,"[Carpeta 1:  Publicación ""Life Escapes""]",[s.f.],1 carpeta de conservación,"Reúne el material gráfico correspondiente a la publicación en láminas titulada ""Life Escapes. Life Escapes Series. Pack 2. Home, Neighborhood and Community"". El conjunto comprende láminas impresas sueltas con reproducciones fotográficas (en blanco y negro) y textos explicativos, acompañadas de tarjetas gráficas impresas a color sobre temas de arquitectura y entorno urbano.",ARQUITECTURA
ARQUITECTURA-C037-P002,ES-CEDCS-ZARZA-ARQUITECTURA-C037-P002,C037-P002,"[Carpeta 2:  Diploma oficial de concesión de los ""Premios Nacionales de Urbanismo 1983"" y otros]",[ca. 1983],1 carpeta de conservación,"Reúne títulos honoríficos, fotolitos de edición y expedientes de proyectos arquitectónicos y urbanísticos (ca. 1983). El conjunto contiene el diploma oficial de concesión de los ""Premios Nacionales de Urbanismo 1983"" otorgado por el Ministerio de Obras Públicas y Urbanismo (firmado por Damián Quero Castanys), borradores impresos con correcciones autógrafas de Rafael Zarza, un reportaje fotográfico a color y filminas de acetato fotolitográficas para la publicación ""Urbanismo en Madrid 1920-1940"". Se completa con el expediente del proyecto arquitectónico de reforma de la vivienda de M. Gala en Madrid (calle Gabriel Abreu, 1), comprensivo de memorias técnicas y planos de construcción.",ARQUITECTURA
AUDIOVISUAL-C038,ES-CEDCS-ZARZA-AUDIOVISUAL-C038,C038,"[Caja 38:  Caja con película ""La generación del 27"", fotografías de Català-Roca y otros]",[ca. 1960-1979],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Incluye el contenedor metálico circular de laboratorios Riera con la película ""La generación del 27"", el expediente ""Fotoescultura Z R Z + estado mental"", la monografía encuadernada ""Artes plásticas y generación del 98"", reportajes de estudio de Vicente Ibáñez y  Català-Roca (Gran Vía y CD-ROM en caja Ilford) y retratos fotográficos de Mao Zedong y Miguel de Unamuno.",AUDIOVISUAL
AUDIOVISUAL-C038-P001,ES-CEDCS-ZARZA-AUDIOVISUAL-C038-P001,C038-P001,"[Carpeta 1:  Caja con película cinematográfica documental titulada ""La generación del 27""]",[s.f.],1 carpeta de conservación,"Contenedor metálico de conservación de formato circular para película de cine, con etiqueta ""Cinematiraje Riera S.A. Laboratorio cinematográfico"" (calle General Díaz Porlier, 101, Madrid). La unidad conserva en su interior una copia de la película cinematográfica documental titulada ""La generación del 27"".",AUDIOVISUAL
AUDIOVISUAL-C038-P002,ES-CEDCS-ZARZA-AUDIOVISUAL-C038-P002,C038-P002,[Carpeta 2:  Fotografías en blanco y negro de gran formato atribuidas a Català-Roca sobre la Gran Vía madrileña y otros],[ca. 1960-1979],1 carpeta de conservación,"El conjunto contiene la carpeta ""Fotoescultura Z R Z + estado mental"" sobre el proyecto ""Fotoescultura, un precedente de la imagen tridimensional"", con memorias descriptivas, cartografía, correspondencia electrónica y retratos fotográficos perspectivos de Miguel de Unamuno, junto con el volumen encuadernado en canutillo ""Artes plásticas y generación del 98"". Se completa con un soporte óptico (CD-ROM) en caja Ilford titulado ""Foto chicas por G V Catalá Roca"", un reportaje de fotografía erótica de las décadas de 1960 y 1970 con sello de estudio de ""Vicente Ibáñez, fotógrafo"" (Avenida José Antonio 70, Madrid), una fotografía enmarcada, un retrato fotográfico original de Mao Zedong, una serie de fotografías en blanco y negro de gran formato atribuidas a Català-Roca sobre la Gran Vía madrileña.",AUDIOVISUAL
EXPOSICIONES-C039,ES-CEDCS-ZARZA-EXPOSICIONES-C039,C039,"[Caja 39:  ""Estudio documental sobre el fenómeno del turismo""  y otros]",[ca. 2004-ca.  2011],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,"Incluye el proyecto de La Casa Encendida ""Estudio documental sobre el fenómeno del turismo"" (2004) con planos y presupuesto, la carpeta ""Ciudades hechas a mano"", el dossier corporativo de producción ""Empty SL. Francisco Mínguez y Asociados Producciones"" y el número 1 de la revista ""Estado mental"" (Madrid, 2011, titulado ""Tenemos que hablar"").",EXPOSICIONES
EXPOSICIONES-C039-P001,ES-CEDCS-ZARZA-EXPOSICIONES-C039-P001,C039-P001,"[Carpeta 1:  ""Estudio documental sobre el fenómeno del turismo""  y otros]",[ca. 2004],1 carpeta de conservación,"Reúne proyectos técnicos de comisariado, diseño museográfico y dossiers corporativos de empresas de producción expositiva. El conjunto contiene el proyecto encuadernado en formato DIN A3 para el centro cultural La Casa Encendida titulado ""Estudio documental sobre el fenómeno del turismo. Proyecto exposición. Casa Encendida, Madrid, abril 2004"" (con memoria técnica, borrador de catálogo, desglose presupuestario, impresiones gráficas y planos de distribución en planta), la carpeta de proyecto sobre arquitectura y desarrollo urbano ""Ciudades hechas a mano"" y el dossier corporativo encuadernado en canutillo ""Empty SL. Francisco Mínguez y Asociados Producciones"", comprensivo de memorias de gestión museográfica y relaciones de proyectos ejecutados.",EXPOSICIONES
EXPOSICIONES-C039-P002,ES-CEDCS-ZARZA-EXPOSICIONES-C039-P002,C039-P002,"[Carpeta 2:  Publicación ""Estado mental""]",[ca. 2011],1 carpeta de conservación,"Un ejemplar impreso de la publicación ""Estado mental"", correspondiente a su número 1 (editado en Madrid en 2011 con el monográfico titulado ""Tenemos que hablar""). La edición está impresa a color en formato DIN A4, estructurada en maquetación a varias columnas de texto con reportajes fotográficos e impresos de divulgación.",EXPOSICIONES
PERSONAL-C040,ES-CEDCS-ZARZA-PERSONAL-C040,C040,[Caja 40:  Correspondencia],[s.f.],1 caja de archivo definitivo (contiene 1 carpeta de conservación).,Agrupación documental constituida por tres sobres llenos de correspondencia y documentación manuscrita de carácter personal.,PERSONAL
PERSONAL-C040-P001,ES-CEDCS-ZARZA-PERSONAL-C040-P001,C040-P001,[Carpeta 1:  Correspondencia],[s.f.],1 carpeta de conservación,Agrupación documental constituida por tres sobres llenos de correspondencia y documentación manuscrita de carácter personal.,PERSONAL
PERSONAL-C041,ES-CEDCS-ZARZA-PERSONAL-C041,C041,[Caja 41:  Agendas],[s.f.],1 caja de archivo definitivo (contiene 2 carpetas de conservación).,Agrupación documental constituida varias agendas personales.,PERSONAL
PERSONAL-C041-P001,ES-CEDCS-ZARZA-PERSONAL-C041-P001,C041-P001,[Carpeta 2:  Agendas 1],[s.f.],1 carpeta de conservación,"Reúne una agenda archivadora de anillas de uso personal comprensiva de un tarjetero con datos de contacto, impresos sueltos y notas manuscritas autógrafas encartadas entre sus hojas, acompañada una agenda de cartón.",PERSONAL
PERSONAL-C041-P002,ES-CEDCS-ZARZA-PERSONAL-C041-P002,C041-P002,[Carpeta 2:  Agendas 2],[s.f.],1 carpeta de conservación,"Reúne tres agendas manuscritas con apuntes de trabajo, compromisos y anotaciones autógrafas de carácter personal, acompañadas de un bloc de notas.",PERSONAL
PERSONAL-C042,ES-CEDCS-ZARZA-PERSONAL-C042,C042,[Caja 42: Agendas],[s.f.],1 caja de archivo definitivo (contiene 1 carpeta de conservación).,"Reúne dos agendas de trabajo con apuntes y anotaciones autógrafas de carácter personal, acompañadas de un tarjetero con tarjetas de visita y directorio de contactos profesionales.",PERSONAL
PERSONAL-C042-P001,ES-CEDCS-ZARZA-PERSONAL-C042-P001,C042-P001,[Carpeta 1:  Agendas 3],[s.f.],1 carpeta de conservación,"Reúne dos agendas de trabajo con apuntes y anotaciones autógrafas de carácter personal, acompañadas de un tarjetero con tarjetas de visita y directorio de contactos profesionales.",PERSONAL
PERSONAL-C043,ES-CEDCS-ZARZA-PERSONAL-C043,C043,[Caja 43: Agendas],[s.f.],1 caja de archivo definitivo (contiene 1 carpeta de conservación).,Reúne siete agendas de trabajo con apuntes y anotaciones autógrafas de carácter personal.,PERSONAL
PERSONAL-C043-P001,ES-CEDCS-ZARZA-PERSONAL-C043-P001,C043-P001,[Carpeta 1:  Agendas 4],[s.f.],1 carpeta de conservación,Reúne siete agendas de trabajo con apuntes y anotaciones autógrafas de carácter personal.,PERSONAL
